address,suburb,postcode,state,Country,shortid,latitude,longitude,status
-,Ormeau,4208,QLD,Australia,5239,-27.7861892,153.2591207,cached
102 Ningi Esplanade,Ningi,4051,QLD,Australia,BS9AK,-27.4261914,152.9882693,cached
Mansfield Park,Mansfield Park,5012,SA,Australia,8DHXI,-34.8539436,138.552812,cached
Tarra Circuit,Mount Barker,5251,SA,Australia,3305,-35.090543,138.8518636,cached
20 Soe Street Redbank Plains,Redbank Plains,4301,QLD,Australia,7607,-27.6205263,152.8725366,cached
Suttons Beach,Redcliffe,4020,QLD,Australia,9035,-27.2352799,153.1150852,cached
90 Bowker Street,Warradale,5047,SA,Australia,XC17C,-35.0013523,138.5318924,cached
9 Stockade Drive,Walkley Heights,5098,SA,Australia,Y3UEY,-34.8408828,138.6329978,cached
Peterson Avenue,Mitchell Park,5043,SA,Australia,YJMIZ,-35.0060295,138.5603693,cached
2 Twilight Drive,Spring Mountain,4113,QLD,Australia,5597,-27.6875388,152.8882102,cached
13A plantation circuit,Landsborough,4550,QLD,Australia,QC77M,-26.8103295,152.9744795,cached
"1-6, 104 Burges Street",Geraldton,6530,WA,Australia,VZQAB,-28.7841507,114.6012656,cached
1/3 Dingo Drive,Caboolture South,4510,QLD,Australia,IGKFQ,-27.0964334,152.9617439,cached
66 Banfield Drive,Mount Louisa,4814,QLD,Australia,7761,-19.2786485,146.7498396,cached
22 Mallorca Circuit,Burdell,4818,QLD,Australia,4UW5A,-19.2480476,146.6981497,cached
13 Spargel Street,Wellard,6055,WA,Australia,Y3BVT,-32.2597919,115.8449905,cached
30 Lily Street,Cairns North,4870,QLD,Australia,VV48G,-16.904935,145.7574251,cached
27 Spruance Road,Elizabeth East,5112,SA,Australia,4272,-34.7319849,138.6770985,cached
Lot 5/56 Hillier Road,Evanston,5116,SA,Australia,4468,-34.6160456,138.731962,cached
2 Birch Crescent,Tonsley,5042,SA,Australia,4837,-35.0160639,138.5661357,cached
57 Portland & 60 Webb Queenstown,Queenstown,5104,SA,Australia,5280,-34.8557479,138.5078288,cached
18 Sedge Street,Caboolture South,4510,QLD,Australia,5139,-27.0649298,152.9226374,cached
Woodville road,Villawood,2163,NSW,Australia,3208,-33.8802377,150.9784191,cached
175 McCormack St,Manunda,4870,QLD,Australia,2497,-16.9206641,145.7443542,cached
2 Wyndham Road,Salisbury North,5108,SA,Australia,54GWF,-34.7535254,138.6283325,cached
10 Greylag Place,Pallara,4110,QLD,Australia,9799,-27.608017,153.0133589,cached
Greenhouse Road,Greenbank,4124,QLD,Australia,25Z2A,-27.7299978,152.9733039,cached
"28 Ralston Street, Logan Reserve",Logan Reserve,4133,QLD,Australia,3706,-27.7061982,153.0983527,cached
38 Samantha Street,Redbank Plains,4301,QLD,Australia,3858,-27.6570591,152.855165,cached
9 Tea Tree St,Narangba,4504,QLD,Australia,158P6,-27.1843573,152.9244273,cached
1/15 Union St,Salisbury,5108,SA,Australia,5684,-34.7624826,138.6399895,cached
37 Mayne Road,Bowen Hills,4006,QLD,Australia,1608,-27.446565,153.0362361,cached
99 alawoona street,Redbank Plains,4301,QLD,Australia,3869,-27.6572618,152.8569008,cached
25 Chubb St,One Mile,4305,QLD,Australia,1G5GE,-27.6318511,152.7388834,cached
127 Elliot Springs,Julago,4816,QLD,Australia,6125,-19.3764128,146.8983661,cached
22 Adelphi Terrace,Glenelg North,5045,SA,Australia,5XLJN,-34.9712266,138.5146505,cached
31 Thorrold St,Wooloowin,4030,QLD,Australia,5329,-27.4160781,153.0438589,cached
8 Riparian Cct,Logan Reserve,4133,QLD,Australia,4331,-27.7152747,153.1191834,cached
34 Peel Street,Redland Bay,4165,QLD,Australia,EFNW7,-27.6144258,153.3019099,cached
10 Nunyah Avenue,Park Holme,5043,SA,Australia,6367,-34.9864356,138.5551809,cached
Peverell Street,Hillcrest,4118,QLD,Australia,1117,-27.665241,153.0224706,cached
8 Bruce Street,Gleneagle,4285,QLD,Australia,7834,-27.9606897,152.992109,cached
Lot 6/56 Hillier Road,Evanston,5116,SA,Australia,4469,-34.6161683,138.7321215,cached
31 Seager St,Gillman,5013,SA,Australia,6766,-34.8455603,138.526306,cached
59 Madonna Circuit,Middle Ridge,4350,QLD,Australia,5KSS2,-27.5990892,151.9536274,cached
14 Flowers Drive,Coomera,4208,QLD,Australia,6261,-27.8359914,153.3433461,cached
9 Kevin Mulroney Drive,Flinders View,4305,QLD,Australia,5599,-27.6484667,152.7841009,cached
"Wyndham Vale, VIC 3024",Wyndham Vale,3024,VIC,Australia,2GS6V,-37.8892516,144.6213448,cached
Maranoa Street,Logan Reserve,4133,QLD,Australia,IC31E,-27.696251,153.104589,cached
"17 Sundew Place, The Banks Estate",Logan Reserve,4133,QLD,Australia,3250,-27.7150092,153.1203536,cached
3A Riesling street,Thornlands,4164,QLD,Australia,5DVH9,-27.5592086,153.2557894,cached
5 diamond street,Pallara,4110,QLD,Australia,3612,-27.6239281,153.003474,cached
3 Birch Crescent,Tonsley,5042,SA,Australia,6800,-35.0159188,138.5662281,cached
Guava Street,Maryborough,4650,QLD,Australia,3657,-25.5460756,152.7066589,cached
67 PANTLINS LANE,URRAWEEN,4655,QLD,Australia,3820,-25.2922662,152.8174224,cached
34 Rugby st,Dover Gardens,5048,SA,Australia,6LCZ6,-35.0219269,138.5379749,cached
16 Gambia Drive,Rasmussen,4815,QLD,Australia,HH3LZ,-19.3598874,146.7261949,cached
4 Casuarina Street,Narangba,4504,QLD,Australia,6772,-27.1841707,152.9247675,cached
8 Peter Close,Tumbi Umbi,2261,NSW,Australia,2363,-33.3759617,151.4534581,cached
"Bellavista Cct,",Beaconsfield,4740,QLD,Australia,9563,-21.0947469,149.1662481,cached
Lot 51 PANORAMA DRIVE,THORNLANDS,4164,QLD,Australia,6136,-27.54906,153.2601816,cached
371 Binnies Road,Deebing Heights,4306,QLD,Australia,4581,-27.6689132,152.7562142,cached
18 Margaret Street,Ayr,4807,QLD,Australia,RX3X6,-19.5755437,147.4187407,cached
71 Light Square,Adelaide,5000,SA,Australia,3182,-34.9257349,138.5925465,cached
1 Amanda Place,Helidon,4344,QLD,Australia,I7ICA,-27.5449928,152.1284614,cached
22 Mt Wheeler St,Park Ridge,4125,QLD,Australia,4671,-27.716433,153.0913512,cached
30 Sandville Ave,Broadview,5083,SA,Australia,7061,-34.8706901,138.6168742,cached
"Gulawa Ave, Gulawa Rise Estate, Highfields, QLD, 4352",Highfields,4352,QLD,Australia,CYJYF,-27.4399744,151.951744,cached
121 Buchan Street,Bungalow,4870,QLD,Australia,4917,-16.9349642,145.7650096,cached
2 Olympia Crescent,Hackham,5163,SA,Australia,7536,-35.1473516,138.5133896,cached
4/3 Drysdale Crescent,Campbelltown,5074,SA,Australia,3933,-34.8838005,138.6614825,cached
"Chinner St, Ridgehaven",Tea Tree Gully,5097,SA,Australia,7EWX8,-34.8201312,138.7175724,cached
20 Larsen St,"Leichhardt, Ipswich",4305,QLD,Australia,7919,-27.6227299,152.7379204,cached
23 Devereux Street,Rural View,4740,QLD,Australia,7971,-21.0508059,149.1639286,cached
13A Carron Court,Brassall,4305,QLD,Australia,8108,-27.5850558,152.7211011,cached
5 Robins Street,Elizabeth Downs,5113,SA,Australia,8177,-34.6940872,138.6897289,cached
89 Tiwi Gardens,Tiwi,810,NT,Australia,3PLR9,-12.3640637,130.8831605,cached
41 Tina Street,Redbank Plains,4301,QLD,Australia,S6KYQ,-27.6568186,152.8569343,cached
19 Weemala Rd,Pennant Hills,2120,NSW,Australia,4307,-33.7364856,151.0677613,cached
4 Scullin Street,Middle Ridge,4350,QLD,Australia,8226,-27.6067334,151.957388,cached
"McCarthy Rd, Avenell Heights",Bundaberg,4670,QLD,Australia,9024,-24.8901896,152.3745986,cached
23 Holt Street,Brassall,4305,QLD,Australia,6707,-27.5850922,152.7481221,cached
4 Lillypilly Court,Mount Gambier,5291,SA,Australia,8222,-37.8185424,140.8052397,cached
18 Savannah Street,Redcliffe,4020,QLD,Australia,9443,-27.2349625,153.1017193,cached
95 Hackney Rd,Hackney,5069,SA,Australia,85SUC,-34.91019720000001,138.6136105,cached
103 Mercy Cct,Park Ridge,4125,QLD,Australia,9530,-27.7135647,153.090208,cached
22 Tristans Way,Tinana,4650,QLD,Australia,QD6NT,-25.5563138,152.6797463,cached
"869 Kingston Road,",Waterford West,4133,QLD,Australia,9584,-27.6918455,153.1293263,cached
23a & 23b Oonoonba Road,Idalia,4811,QLD,Australia,3RRP4,-19.3044643,146.8089261,cached
St Annes St,Ryde,2112,NSW,Australia,5393,-33.816538,151.1057274,cached
100 Magill Road,Norwood,5967,SA,Australia,8964,-34.9156188,138.6294555,cached
Almond Grove,Morphett Vale,5162,SA,Australia,5811,-35.1068569,138.5305082,cached
Sherwood Crescent,Paralowie,5108,SA,Australia,59SGH,-34.7502101,138.6186245,cached
5 Deakin Drive,Flora Hill,3550,VIC,Australia,5964,-36.7872005,144.2966184,cached
Malone Street,Morphett Vale,5162,SA,Australia,2BNRH,-35.1269252,138.5397327,cached
5 Deakin Drive,Flora Hill,3550,VIC,Australia,5963,-36.7872005,144.2966184,cached
"28b Gaffel Street, Svensson Heights QLD",Svensson Heights,4670,QLD,Australia,ADN5G,-24.8821973,152.3292602,cached
"148-170 Pigdons Road, Highton, Geelong VIC",Highton (Geelong) VIC,3216,VIC,Australia,6284,-38.1894387,144.3062816,cached
7 Sprite Way,Brassall,4305,QLD,Australia,4562,-27.5800505,152.7370389,cached
1B Giddings Street,North Geelong,3215,VIC,Australia,6302,-38.1217916,144.3445869,cached
Mountford Avenue,Guildford,2161,NSW,Australia,5678,-33.8527338,150.991058,cached
Sovereign Drive Deebving Heights,Deebing Heights,4306,QLD,Australia,GQGYP,-27.6694224,152.751204,cached
32 Boss St,Caboolture South,4512,QLD,Australia,R2F3A,-27.0971352,152.9591561,cached
"148-170 Pigdons Road, Highton, Geelong VIC","Highton, (Geelong) VIC",3216,VIC,Australia,6721,-38.1894387,144.3062816,cached
"148-170 Pigdons Road, Highton, Geelong VIC",Geelong VIC,3216,VIC,Australia,6727,-38.1894387,144.3062816,cached
"148-170 Pigdons Road, Highton, Geelong VIC",Highton (Geelong) VIC,3216,VIC,Australia,6728,-38.1894387,144.3062816,cached
1/113 Dover Road,Redcliffe,4020,QLD,Australia,SP7G7,-27.2341289,153.1063534,cached
2 Silverwattle Road Mount Duneed,Armstrong Creek (Geelong),3217,VIC,Australia,6732,-38.2185838,144.3315707,cached
37 Shale Circuit,Cosgrove,4818,QLD,Australia,TE27U,-19.2707404,146.7055992,cached
471 Captain Cook Drive,Woolooware Bay,2230,NSW,Australia,6556,-34.038097,151.1388393,cached
3 Cygnet Street,Seacombe Gardens,5047,SA,Australia,8U848,-35.0243659,138.5446486,cached
1 Sommer Place,Pasadena,5042,SA,Australia,9178,-35.0025155,138.5932743,cached
31 Fergusson Ave,Craigburn Farm,5051,SA,Australia,9238,-35.0414189,138.6133819,cached
43 Kalu St,Griffin,4503,QLD,Australia,7U3TZ,-27.2646207,153.0416716,cached
44 Lillimur Road,Ormond,3204,VIC,Australia,6PAVH,-37.9003595,145.0420772,cached
Woodville road,Villawood,2163,NSW,Australia,5VE9Z,-33.8802377,150.9784191,cached
146 Hillier Road,Reynella,5161,SA,Australia,9248,-35.0961247,138.5217293,cached
2/56 Hillier Road,Evanston,5116,SA,Australia,4470,-34.6155573,138.7313478,cached
12 mons street,Condell Park,2200,NSW,Australia,7384,-33.9327967,151.0173541,cached
Highland Avenue,Gleneagle,4285,QLD,Australia,4668,-27.9605745,152.9913947,cached
Thornhill Cl,Branyan,4670,QLD,Australia,HXBZI,-24.8564819,152.3376855,cached
160A Taylor St,Newtown,4350,QLD,Australia,WFRWJ,-27.5539452,151.9277648,cached
Stebonheath Road,Munno Para West,5115,SA,Australia,2898,-34.6603842,138.6788975,cached
29 Cressy Avenue,Windsor Gardens,5087,SA,Australia,299BN,-34.8603447,138.661007,cached
50 Margaret Street,Southport,4215,QLD,Australia,7670,-27.9764548,153.399952,cached
55 Currong Street North,Braddon,2612,ACT,Australia,3461,-35.27738970000001,149.1360971,cached
8 Pindari Avenue,Burleigh Heads,4220,QLD,Australia,7904,-28.0994924,153.4493683,cached
4 Griffiths Street,Bellfield,3081,VIC,Australia,7570,-37.75176889999999,145.0452906,cached
49 Arbor St,Ferny Grove,4054,QLD,Australia,RQE6F,-27.4053444,152.935969,cached
"8 Downing Steet, Mighell (Innisfail)",Mighell,4860,QLD,Australia,RWN19,-17.5333633,146.025407,cached
1-3 Mostyn Avenue,Northfield,5085,SA,Australia,CRYNP,-34.8537835,138.6203424,cached
84 Sibley Road Wynnum West,Wynnum West,4178,QLD,Australia,8253,-27.4417193,153.1543013,cached
48 Alawa Cresent,Alawa,810,NT,Australia,CJNN4,-12.3784174,130.8754543,cached
21 Station Street,Thornleigh,2120,NSW,Australia,913,-33.7325317,151.0813002,cached
11 Bunting Street,Bungalow,4870,QLD,Australia,82WQ8,-16.9309285,145.7627988,cached
2 a & b Homington Road,Elizabeth North,5113,SA,Australia,L3C8Q,-34.7013756,138.6743212,cached
Brandis Road,Munno Para West,5115,SA,Australia,K727H,-34.6578322,138.6732061,cached
19A Almond Drive,Salisbury,5018,SA,Australia,8LDB7,-34.7669936,138.6288605,cached
"49 Chenoweth Drive, Blacks Beach, QLD 4740",Mackay,4740,QLD,Australia,21R4K,-21.0570228,149.1816368,cached
1 Dora St,Morayfield,4506,QLD,Australia,8367,-27.1274682,152.937791,cached
16 Holberton Street,Zillmere,4034,QLD,Australia,ZWL1V,-27.3523148,153.0467326,cached
33 Flint Street,Munno Para,5115,SA,Australia,1XUVL,-34.6684704,138.6969036,cached
70 Tavistock Street,Oxley,4075,QLD,Australia,VCNRE,-27.5550874,152.9717992,cached
Toowoomba,Toowoomba,4350,QLD,Australia,1355,-27.5564884,151.9533185,cached
50 high st,Brassall,4305,QLD,Australia,XBTK6,-27.591114,152.7361599,cached
2B Prominent Road,Diggers Rest,3427,VIC,Australia,8039,-37.6237103,144.7005687,cached
"18 Esplanade, Coomera",coomera,4209,QLD,Australia,8505,-27.8752407,153.3165696,cached
3 South Avenue,Northfield,5085,SA,Australia,9380,-34.8501465,138.6192299,cached
1/2b Willshire Street,Millicent,5280,SA,Australia,9630,-37.5999636,140.3466218,cached
17 Correa Avenue,Cheltenham,3192,VIC,Australia,8280,-37.9628715,145.0438481,cached
5 Curlew Court,Branyan,4670,QLD,Australia,2B5ZJ,-24.8958709,152.2972563,cached
113 Lyons Rd,Windsor Gardens,5087,SA,Australia,UMX7K,-34.8575508,138.6666875,cached
"Smithfield Plains, SA",Smithfield Plains,5114,SA,Australia,3KSSN,-34.676285,138.6764994,cached
120 Mason Street (HOUSE 1),Mareeba,4880,QLD,Australia,4SPFV,-17.0049894,145.4204756,cached
"34 Merriwa Street, Katoomba",Katoomba,2780,NSW,Australia,BFMAP,-33.7195886,150.3158654,cached
10 Moonie Street,Holmview,4207,QLD,Australia,6VCIC,-27.7247396,153.1680891,cached
211 Parklands Boulevard,Little Mountain,4551,QLD,Australia,6DN5G,-26.7754788,153.1029508,cached
"1 cooper street, Birrong",Birrong,2143,NSW,Australia,CV91D,-33.8871691,151.0279868,cached
50 Lord Sheffield Circuit,Penrith,2750,NSW,Australia,CZRUU,-33.7478918,150.6976123,cached
19 Hambridge Road Davoren Park SA 5113,Davoren Park,5113,SA,Australia,9094,-34.6963217,138.6678448,cached
2/113 Dover Road,Redcliffe,4020,QLD,Australia,E168M,-27.2341289,153.1063534,cached
19 Deshon Street,Woolloongabba,4102,QLD,Australia,4V5DB,-27.4926004,153.042027,cached
18 Creek Place,Park Ridge,4125,QLD,Australia,3705,-27.7035983,153.093898,cached
Midlow road,Elizabeth Downs,5090,SA,Australia,D2KJV,-34.6977537,138.6898918,cached
Springfield Road,Mount Barker,5251,SA,Australia,4971,-35.0827302,138.8448409,cached
Branksome Terrace,Dover Gardens,5048,SA,Australia,3299,-35.0233584,138.540381,cached
Mountford Avenue,Guildford,2161,NSW,Australia,8LJDB,-33.8527338,150.991058,cached
Sherwood Crescent,Paralowie,5108,SA,Australia,3301,-34.7502101,138.6186245,cached
"32 Midlow Road, Elizabeth Downs SA, Australia",Elizabeth Downs,5113,SA,Australia,9098,-34.6979407,138.689876,cached
"59 Ferris Street, Christie's Beach SA",Christies Beach,5165,SA,Australia,9779,-35.1347119,138.4774736,cached
23 Gail Crescent,Murray Bridge,5253,SA,Australia,9JJ9W,-35.1357359,139.2797944,cached
37B Dockett Road,Elizabeth Downs,5113,SA,Australia,UYZU8,-34.7059784,138.6889671,cached
"1 Ivanhoe Place, Macquarie Park, NSW, 2113",Macquarie Park,2111,NSW,Australia,FWA9L,-33.780556,151.114517,cached
21 hinkler ave,Caringbah,2229,NSW,Australia,9480,-34.0387167,151.1164131,cached
Panorama,Panorama,5041,SA,Australia,6532,-35.0017041,138.5966647,cached
Sherwood Crescent,Paralowie,5108,SA,Australia,L9KC8,-34.7502101,138.6186245,cached
45 Weroona Avenue,Park Holme,5043,SA,Australia,A1VND,-34.9832296,138.5512674,cached
16 Lennon Lane,North Ipswich,4305,QLD,Australia,4489,-27.6042319,152.7624012,cached
22 Adelphi Terrace,Glenelg North,5045,SA,Australia,1748,-34.9712266,138.5146505,cached
55 Lucas Street,Richmond,5033,SA,Australia,8864,-34.9413342,138.5548706,cached
"Ramsay Way,",Para Hills West,5096,SA,Australia,A3YNN,-34.8064339,138.6459468,cached
3 Hamish Court,Sebastopol,3356,VIC,Australia,9476,-37.59200999999999,143.8261867,cached
3/76 Blackbutt Drive,Wauchope,2446,NSW,Australia,FVS6Q,-31.4657608,152.7225517,cached
21 East Terrace,Kingston South East,5275,SA,Australia,APGMJ,-36.8361617,139.8552277,cached
66 Martindale St,Corinda,4075,QLD,Australia,4909,-27.5371508,152.9855629,cached
Mountford Avenue,Guildford,2161,NSW,Australia,9YTBW,-33.8527338,150.991058,cached
52 Chantilly Street,Bargara,4670,QLD,Australia,1491,-24.8400929,152.4632116,cached
218 Hume Street,Toowoomba,4350,QLD,Australia,1361,-27.5710486,151.9565539,cached
403 Latrobe Street,Redan,3350,VIC,Australia,9619,-37.5728923,143.8395408,cached
6 Quinn Street,Christie Downs,5164,SA,Australia,AUC2L,-35.1359313,138.4893351,cached
Alldis Avenue,Albury,2641,NSW,Australia,DIXK2,-36.0405585,146.9336132,cached
4 Neridah Street,Loganlea,4131,QLD,Australia,1619,-27.6726358,153.1426447,cached
Showground Road Gosford,Gosford,2250,NSW,Australia,EGUU2,-33.4173515,151.3424266,cached
Showground Road Gosford,Gosford,2250,NSW,Australia,ELDBQ,-33.4173515,151.3424266,cached
Seager street Gillman,Port Adelaide,5109,SA,Australia,AX3RP,-34.84541,138.5275034,cached
44 Regent Street,Kogarah,2217,NSW,Australia,JC6EX,-33.961161,151.1354779,cached
70 Tavistock St,Oxley,4075,QLD,Australia,7281,-27.5550874,152.9717992,cached
102A Chum St.,Bendigo,3555,VIC,Australia,B32RK,-36.7637698,144.2488004,cached
22 Adelphi Terrace,Glenelg North,5045,SA,Australia,6245,-34.9712266,138.5146505,cached
"337 & 338 Campiana Street, Angle Vale SA",Angle Vale,5117,SA,Australia,BKWGJ,-34.65325,138.6517431,cached
18 Meikle John Circuit,Collingwood Park,4301,QLD,Australia,1780,-27.628764,152.8518541,cached
Showground Road Gosford,Gosford,2250,NSW,Australia,GJ1SW,-33.4173515,151.3424266,cached
Mountford Avenue,Guildford,2161,NSW,Australia,I1J71,-33.8527338,150.991058,cached
29 Station Street Nundah QLD 4012,Nundah,4012,QLD,Australia,731,-27.4013037,153.0614889,cached
Farman Avenue,Hendon,5014,SA,Australia,D8QGB,-34.8759116,138.515017,cached
9 ILIAD GROVE,Modbury North DC,5092,SA,Australia,VFC59,-34.8270383,138.6918825,cached
31 Dyson Road,Port Noarlunga,5167,SA,Australia,CQE5J,-35.1456141,138.4863598,cached
4 Wyndham Road,Salisbury North,5108,SA,Australia,C4M8A,-34.753435,138.6285259,cached
Mann street Gosford,Gosford,2250,NSW,Australia,LQNRL,-33.4228188,151.3427273,cached
11 Ashburton Street,Blair Athol,5084,SA,Australia,NJG2W,-34.851757,138.5970627,cached
22 Fragar Road,South Penrith,2750,NSW,Australia,N5USR,-33.7657638,150.7084518,cached
